Pays,Actifs Pré-crise (millions),Actifs Post-crise (millions),Variation (%),Nb banques
DE,4967.407275193797,1390.2595087151394,-72.012371209065,996
IT,7781.267576433119,2404.0538343828716,-69.10459882315378,354
AT,5647.711419191918,1874.3950371794872,-66.8114232818277,195
PT,6422.198874999999,3157.3522000000003,-50.83689774399892,5
ES,8286.6665,4861.795713286712,-41.329897694245176,36
UK,43191.333634146344,25876.853440963852,-40.087857299905075,26
FI,52411.315375,35588.796666666654,-32.0971122132104,3
BE,7654.752399999999,5463.397666666667,-28.62737576375864,2
DK,810.9937014285714,618.1178160869565,-23.78266132053339,5
CH,33353.40358666667,25784.388275675676,-22.693382075155817,9
SI,1024.341,908.2933999999999,-11.329000791728536,1
FR,874840.5264705883,803367.6277142859,-8.169820280805808,6
NO,2056.202,2159.4897499999997,5.023229721593476,1
GR,364.0115,414.7346842105263,13.934500478838254,6
PL,2952.3705,3366.734125,14.034946664045043,2
SE,14151.877999999999,21672.15711111111,53.139796082972964,2
NL,297273.85483333335,585629.4033333333,96.9999694933369,2
CY,2774.822,7549.056577777777,172.05552564372695,2
