institution_name,year,country_code,ass_total,ass_trade,inc_trade,in_roa,rt_rwa,in_roe,in_trade,
Westdeutsche Genossenschafts-Zentralbank AG,2005,DE,"73583,66","25365,65","51,712","0,0023076",,"0,0864125","0,1040238",
Westdeutsche Genossenschafts-Zentralbank AG,2006,DE,"81197,7","29676,6",34,"0,0036072","0,2850327041","0,1041015","0,0602196",
Westdeutsche Genossenschafts-Zentralbank AG,2007,DE,"88645,4","35609,4","-50,6","0,0028394","0,3054304002","0,0877462","-0,0962709",
Westdeutsche Genossenschafts-Zentralbank AG,2008,DE,"92652,2","37917,3","-571,1","-0,0035736","0,2389311857","-0,1294472","-10,83681",
Westdeutsche Genossenschafts-Zentralbank AG,2009,DE,"95643,3","39020,1","338,9","0,0037724","0,1969557721","0,1184232","0,421465",
Westdeutsche Genossenschafts-Zentralbank AG,2010,DE,"94081,3","36327,7","-42,6","0,0017294","0,1878694278","0,0531838","-0,0931351",
Westdeutsche Genossenschafts-Zentralbank AG,2011,DE,"93945,3","33213,09","-862,2","-0,0046091","0,1986528331","-0,1618631","2,577579",
Westdeutsche Genossenschafts-Zentralbank AG,2012,DE,"96082,1","34427,5","140,9","0,0057326","0,1831766791","0,1804068","0,1912324",
Westdeutsche Genossenschafts-Zentralbank AG,2013,DE,"90925,7","30815,1","29,3","0,0033665","0,1894403892","0,0935199","0,0489557",
Westdeutsche Genossenschafts-Zentralbank AG,2014,DE,"94873,1","34322,4","53,7","0,0032454","0,2426293649","0,0796183","0,0856323",
Westdeutsche Genossenschafts-Zentralbank AG,2015,DE,"89794,5","29492,1","8,2","0,0038599","0,2475095913","0,0845923","0,0127766",
Deutsche Zentral-Genossenschaftsbank AG,2005,DE,401604,192001,375,"0,0031623","0,2943800361","0,1519866","0,059885",
Deutsche Zentral-Genossenschaftsbank AG,2006,DE,421684,210682,790,"0,0049018","0,2444036293","0,1906826","0,1584436",
Deutsche Zentral-Genossenschaftsbank AG,2007,DE,431337,214558,-323,"0,002476","0,2697716635","0,0970644","-0,0812783",
Deutsche Zentral-Genossenschaftsbank AG,2008,DE,427127,209759,-1963,"-0,0036312","0,2763229672","-0,184248","-0,9392344",
Deutsche Zentral-Genossenschaftsbank AG,2009,DE,388525,188088,930,"0,0021517","0,2448362396","0,0816965","0,2012116",
Deutsche Zentral-Genossenschaftsbank AG,2010,DE,383464,179481,927,"0,0042194","0,2257708677","0,1508343","0,179269",
Deutsche Zentral-Genossenschaftsbank AG,2011,DE,405926,185282,-626,"0,0007982","0,2454265063","0,0300696","-0,1668888",
Deutsche Zentral-Genossenschaftsbank AG,2012,DE,407236,186118,189,"0,0032389","0,2194059464","0,104343","0,0387454",
Deutsche Zentral-Genossenschaftsbank AG,2013,DE,385398,170884,1135,"0,0057629","0,2214593745","0,1565407","0,1963668",
Deutsche Zentral-Genossenschaftsbank AG,2014,DE,402682,187398,898,"0,0071198","0,243566884","0,1571389","0,1460875",
Deutsche Zentral-Genossenschaftsbank AG,2015,DE,408341,180989,803,"0,0060072","0,2396428475","0,1243347","0,1341688",
Deutsche Apotheker- und Ärztebank eG,2005,DE,"29644,45","8181,206","1,711","0,0063732","0,7473186381","0,1128934","0,0028753",
Deutsche Apotheker- und Ärztebank eG,2006,DE,"32949,73","9761,539","11,905","0,0039436","0,7192775176","0,072297","0,018063",
Deutsche Apotheker- und Ärztebank eG,2007,DE,"37069,85","11202,06","12,976","0,0034393","0,5179411301","0,068727","0,0184345",
Deutsche Apotheker- und Ärztebank eG,2008,DE,"41220,61","12207,98","6,514","0,001658","0,4682123821","0,0369643","0,0089852",
Deutsche Apotheker- und Ärztebank eG,2009,DE,"41230,67","12282,78","8,22","-0,0065325","0,5917924691","-0,173045","0,0108921",
Deutsche Apotheker- und Ärztebank eG,2010,DE,"38819,13","11283,49","3,43","0,0007806","0,6105237289","0,0164174","0,0041575",
Deutsche Apotheker- und Ärztebank eG,2011,DE,"38839,74","10288,79","11,409","0,0023126","0,5352121307","0,048066","0,0140675",
